[SLURM] job=291061 node=25a-hgpn007 part=dev dataset=model_III
[SLURM] python=/usr/bin/python3
env ok torch 2.8.0+cu128
GPU 0: NVIDIA H200 (UUID: GPU-a67a44e9-0c62-0cc9-7a6a-7b8f49181812)
[21:45:35] done: butterfly model_III N100 seed47
[21:45:35] done: butterfly model_III N100 seed46
[21:46:08] done: butterfly model_III N100 seed48
[21:46:09] done: butterfly model_III N100 seed49
[21:46:42] done: butterfly model_III N100 seed51
[21:46:42] done: butterfly model_III N100 seed50
[21:47:26] done: butterfly model_III N100 seed53
[21:47:27] done: butterfly model_III N100 seed52
[21:47:39] done: butterfly model_III N100 seed54
[21:47:39] done: butterfly model_III N100 seed55
[21:51:43] done: butterfly model_III N100 seed57
[21:51:43] done: butterfly model_III N100 seed56
[21:51:58] done: butterfly model_III N100 seed59
[21:51:58] done: butterfly model_III N100 seed58
[21:52:30] done: butterfly model_III N100 seed60
[21:52:32] done: butterfly model_III N100 seed61
[21:52:44] done: cayley model_III N100 seed43
[21:52:45] done: cayley model_III N100 seed42
[21:53:13] done: cayley model_III N100 seed44
[21:53:15] done: cayley model_III N100 seed45
[21:53:28] done: cayley model_III N100 seed47
[21:53:29] done: cayley model_III N100 seed46
[21:53:56] done: cayley model_III N100 seed48
[21:53:58] done: cayley model_III N100 seed49
[21:54:15] done: cayley model_III N100 seed50
[21:54:15] done: cayley model_III N100 seed51
[21:54:38] done: cayley model_III N100 seed52
[21:54:39] done: cayley model_III N100 seed53
[21:54:59] done: cayley model_III N100 seed55
[21:54:59] done: cayley model_III N100 seed54
[21:56:19] done: cayley model_III N100 seed56
[21:56:29] done: cayley model_III N100 seed57
[21:57:02] done: cayley model_III N100 seed58
[21:57:03] done: cayley model_III N100 seed59
[21:57:12] done: cayley model_III N100 seed60
[21:57:15] done: cayley model_III N100 seed61
[21:57:37] done: dctfix model_III N100 seed42
[21:57:39] done: dctfix model_III N100 seed43
[21:58:01] done: dctfix model_III N100 seed44
[21:58:04] done: dctfix model_III N100 seed45
[21:58:23] done: dctfix model_III N100 seed46
[21:58:24] done: dctfix model_III N100 seed47
[21:59:02] done: dctfix model_III N100 seed48
[21:59:04] done: dctfix model_III N100 seed49
[21:59:08] done: dctfix model_III N100 seed51
[21:59:08] done: dctfix model_III N100 seed50
[21:59:40] done: dctfix model_III N100 seed52
[21:59:47] done: dctfix model_III N100 seed53
[21:59:51] done: dctfix model_III N100 seed55
[21:59:51] done: dctfix model_III N100 seed54
[22:00:15] done: dctfix model_III N100 seed56
[22:00:25] done: dctfix model_III N100 seed57
[22:00:33] done: dctfix model_III N100 seed59
[22:00:33] done: dctfix model_III N100 seed58
[22:00:50] done: dctfix model_III N100 seed60
[22:01:02] done: dctfix model_III N100 seed61
[22:01:12] done: conv model_III N100 seed43
[22:01:13] done: conv model_III N100 seed42
[22:01:27] done: conv model_III N100 seed44
[22:01:42] done: conv model_III N100 seed45
[22:01:54] done: conv model_III N100 seed46
[22:01:54] done: conv model_III N100 seed47
[22:02:04] done: conv model_III N100 seed48
[22:02:22] done: conv model_III N100 seed49
[22:02:32] done: conv model_III N100 seed50
[22:02:35] done: conv model_III N100 seed51
[22:02:44] done: conv model_III N100 seed52
[22:04:31] done: conv model_III N100 seed53
[22:04:58] done: conv model_III N100 seed55
[22:05:03] done: conv model_III N100 seed54
[22:05:04] done: conv model_III N100 seed56
[22:05:23] done: conv model_III N100 seed57
[22:06:09] done: conv model_III N100 seed59
[22:06:09] done: conv model_III N100 seed58
[22:06:26] done: conv model_III N100 seed60
[22:06:31] done: conv model_III N100 seed61
[22:07:54] done: quantum model_III N250 seed43
[22:07:55] done: quantum model_III N250 seed42
[22:07:59] done: quantum model_III N250 seed44
[22:08:02] done: quantum model_III N250 seed45
[22:09:18] done: quantum model_III N250 seed46
[22:09:22] done: quantum model_III N250 seed47
[22:09:24] done: quantum model_III N250 seed48
[22:09:30] done: quantum model_III N250 seed49
[22:10:46] done: quantum model_III N250 seed50
[22:10:49] done: quantum model_III N250 seed52
[22:10:50] done: quantum model_III N250 seed51
[22:10:56] done: quantum model_III N250 seed53
[22:12:10] done: quantum model_III N250 seed54
[22:12:13] done: quantum model_III N250 seed55
[22:12:18] done: quantum model_III N250 seed56
[22:12:23] done: quantum model_III N250 seed57
[22:13:35] done: quantum model_III N250 seed58
[22:13:40] done: quantum model_III N250 seed59
[22:13:42] done: quantum model_III N250 seed60
[22:13:49] done: quantum model_III N250 seed61
[22:14:31] done: skew48 model_III N250 seed42
[22:14:38] done: skew48 model_III N250 seed43
[22:14:42] done: skew48 model_III N250 seed44
[22:14:47] done: skew48 model_III N250 seed45
[22:15:27] done: skew48 model_III N250 seed46
[22:15:36] done: skew48 model_III N250 seed47
[22:15:43] done: skew48 model_III N250 seed48
[22:15:45] done: skew48 model_III N250 seed49
[22:16:24] done: skew48 model_III N250 seed50
[22:16:34] done: skew48 model_III N250 seed51
[22:16:41] done: skew48 model_III N250 seed52
[22:16:44] done: skew48 model_III N250 seed53
[22:17:18] done: skew48 model_III N250 seed54
[22:17:30] done: skew48 model_III N250 seed55
[22:17:39] done: skew48 model_III N250 seed56
[22:17:42] done: skew48 model_III N250 seed57
[22:18:11] done: skew48 model_III N250 seed58
[22:18:25] done: skew48 model_III N250 seed59
[22:18:36] done: skew48 model_III N250 seed60
[22:18:39] done: skew48 model_III N250 seed61
[22:19:15] done: butterfly model_III N250 seed42
[22:19:28] done: butterfly model_III N250 seed43
[22:19:41] done: butterfly model_III N250 seed44
[22:19:43] done: butterfly model_III N250 seed45
[22:20:17] done: butterfly model_III N250 seed46
[22:20:30] done: butterfly model_III N250 seed47
[22:20:46] done: butterfly model_III N250 seed48
[22:20:48] done: butterfly model_III N250 seed49
[22:21:21] done: butterfly model_III N250 seed50
[22:21:34] done: butterfly model_III N250 seed51
[22:21:50] done: butterfly model_III N250 seed52
[22:21:52] done: butterfly model_III N250 seed53
[22:22:24] done: butterfly model_III N250 seed54
[22:22:38] done: butterfly model_III N250 seed55
[22:22:54] done: butterfly model_III N250 seed56
[22:22:57] done: butterfly model_III N250 seed57
[22:23:25] done: butterfly model_III N250 seed58
[22:23:43] done: butterfly model_III N250 seed59
[22:23:58] done: butterfly model_III N250 seed60
[22:24:01] done: butterfly model_III N250 seed61
[22:24:19] done: cayley model_III N250 seed42
[22:24:37] done: cayley model_III N250 seed43
[22:24:55] done: cayley model_III N250 seed44
[22:24:57] done: cayley model_III N250 seed45
[22:25:11] done: cayley model_III N250 seed46
[22:25:30] done: cayley model_III N250 seed47
[22:25:50] done: cayley model_III N250 seed48
[22:25:53] done: cayley model_III N250 seed49
[22:26:05] done: cayley model_III N250 seed50
[22:26:24] done: cayley model_III N250 seed51
[22:26:47] done: cayley model_III N250 seed52
[22:26:49] done: cayley model_III N250 seed53
[22:27:00] done: cayley model_III N250 seed54
[22:27:16] done: cayley model_III N250 seed55
[22:27:43] done: cayley model_III N250 seed56
[22:27:46] done: cayley model_III N250 seed57
[22:27:55] done: cayley model_III N250 seed58
[22:28:11] done: cayley model_III N250 seed59
[22:28:39] done: cayley model_III N250 seed60
[22:28:43] done: cayley model_III N250 seed61
[22:28:44] done: dctfix model_III N250 seed42
[22:28:55] done: dctfix model_III N250 seed43
[22:29:27] done: dctfix model_III N250 seed44
[22:29:33] done: dctfix model_III N250 seed45
[22:29:33] done: dctfix model_III N250 seed46
[22:29:42] done: dctfix model_III N250 seed47
[22:30:16] done: dctfix model_III N250 seed48
[22:30:22] done: dctfix model_III N250 seed50
[22:30:22] done: dctfix model_III N250 seed49
[22:30:30] done: dctfix model_III N250 seed51
[22:31:05] done: dctfix model_III N250 seed52
[22:31:10] done: dctfix model_III N250 seed54
[22:31:12] done: dctfix model_III N250 seed53
[22:31:20] done: dctfix model_III N250 seed55
[22:31:53] done: dctfix model_III N250 seed56
[22:31:58] done: dctfix model_III N250 seed57
[22:32:01] done: dctfix model_III N250 seed58
[22:32:09] done: dctfix model_III N250 seed59
[22:32:43] done: dctfix model_III N250 seed60
[22:32:47] done: dctfix model_III N250 seed61
[22:32:50] done: conv model_III N250 seed42
[22:32:58] done: conv model_III N250 seed43
[22:33:31] done: conv model_III N250 seed44
[22:33:36] done: conv model_III N250 seed45
[22:33:40] done: conv model_III N250 seed46
[22:33:46] done: conv model_III N250 seed47
[22:34:19] done: conv model_III N250 seed48
[22:34:26] done: conv model_III N250 seed49
[22:34:29] done: conv model_III N250 seed50
[22:34:35] done: conv model_III N250 seed51
[22:35:08] done: conv model_III N250 seed52
[22:35:16] done: conv model_III N250 seed53
[22:35:19] done: conv model_III N250 seed54
[22:35:24] done: conv model_III N250 seed55
[22:35:57] done: conv model_III N250 seed56
[22:36:05] done: conv model_III N250 seed57
[22:36:09] done: conv model_III N250 seed58
[22:36:12] done: conv model_III N250 seed59
[22:36:38] done: conv model_III N250 seed60
[22:36:47] done: conv model_III N250 seed61
[SWEEP DONE] model_III: 240 runs launched, results in results_qpe2_model_III.jsonl
