[SLURM] job=291060 node=25a-hgpn007 part=dev dataset=model_II
[SLURM] python=/usr/bin/python3
env ok torch 2.8.0+cu128
GPU 0: NVIDIA H200 (UUID: GPU-5bafd13e-e706-c9cb-eea3-7cbd776028e5)
[21:57:12] done: cayley model_II N100 seed60
[21:57:42] done: dctfix model_II N100 seed42
[21:57:45] done: cayley model_II N100 seed61
[21:58:01] done: dctfix model_II N100 seed43
[21:58:02] done: dctfix model_II N100 seed44
[21:58:25] done: dctfix model_II N100 seed45
[21:58:42] done: dctfix model_II N100 seed46
[21:58:59] done: dctfix model_II N100 seed47
[21:58:59] done: dctfix model_II N100 seed48
[21:59:05] done: dctfix model_II N100 seed49
[21:59:17] done: dctfix model_II N100 seed50
[21:59:44] done: dctfix model_II N100 seed52
[21:59:44] done: dctfix model_II N100 seed53
[21:59:44] done: dctfix model_II N100 seed51
[21:59:55] done: dctfix model_II N100 seed54
[22:00:23] done: dctfix model_II N100 seed56
[22:00:23] done: dctfix model_II N100 seed55
[22:00:26] done: dctfix model_II N100 seed57
[22:00:34] done: dctfix model_II N100 seed58
[22:01:02] done: dctfix model_II N100 seed60
[22:01:02] done: dctfix model_II N100 seed59
[22:01:08] done: dctfix model_II N100 seed61
[22:01:13] done: conv model_II N100 seed42
[22:01:40] done: conv model_II N100 seed43
[22:01:44] done: conv model_II N100 seed44
[22:01:47] done: conv model_II N100 seed45
[22:01:54] done: conv model_II N100 seed46
[22:02:17] done: conv model_II N100 seed47
[22:02:25] done: conv model_II N100 seed49
[22:02:26] done: conv model_II N100 seed48
[22:02:34] done: conv model_II N100 seed50
[22:02:52] done: conv model_II N100 seed51
[22:04:33] done: conv model_II N100 seed52
[22:04:34] done: conv model_II N100 seed53
[22:05:02] done: conv model_II N100 seed54
[22:05:03] done: conv model_II N100 seed55
[22:05:27] done: conv model_II N100 seed57
[22:05:28] done: conv model_II N100 seed56
[22:06:06] done: conv model_II N100 seed58
[22:06:27] done: conv model_II N100 seed59
[22:06:34] done: conv model_II N100 seed60
[22:06:34] done: conv model_II N100 seed61
[22:07:50] done: quantum model_II N250 seed42
[22:08:02] done: quantum model_II N250 seed45
[22:08:03] done: quantum model_II N250 seed43
[22:08:04] done: quantum model_II N250 seed44
[22:09:15] done: quantum model_II N250 seed46
[22:09:28] done: quantum model_II N250 seed49
[22:09:29] done: quantum model_II N250 seed47
[22:09:31] done: quantum model_II N250 seed48
[22:10:38] done: quantum model_II N250 seed50
[22:10:52] done: quantum model_II N250 seed51
[22:10:55] done: quantum model_II N250 seed52
[22:10:58] done: quantum model_II N250 seed53
[22:12:03] done: quantum model_II N250 seed54
[22:12:18] done: quantum model_II N250 seed55
[22:12:22] done: quantum model_II N250 seed57
[22:12:22] done: quantum model_II N250 seed56
[22:13:29] done: quantum model_II N250 seed58
[22:13:45] done: quantum model_II N250 seed60
[22:13:46] done: quantum model_II N250 seed59
[22:13:50] done: quantum model_II N250 seed61
[22:14:23] done: skew48 model_II N250 seed42
[22:14:43] done: skew48 model_II N250 seed43
[22:14:47] done: skew48 model_II N250 seed44
[22:14:48] done: skew48 model_II N250 seed45
[22:15:16] done: skew48 model_II N250 seed46
[22:15:38] done: skew48 model_II N250 seed47
[22:15:48] done: skew48 model_II N250 seed48
[22:15:48] done: skew48 model_II N250 seed49
[22:16:10] done: skew48 model_II N250 seed50
[22:16:31] done: skew48 model_II N250 seed51
[22:16:47] done: skew48 model_II N250 seed53
[22:16:48] done: skew48 model_II N250 seed52
[22:17:02] done: skew48 model_II N250 seed54
[22:17:23] done: skew48 model_II N250 seed55
[22:17:44] done: skew48 model_II N250 seed56
[22:17:44] done: skew48 model_II N250 seed57
[22:17:57] done: skew48 model_II N250 seed58
[22:18:16] done: skew48 model_II N250 seed59
[22:18:42] done: skew48 model_II N250 seed60
[22:18:43] done: skew48 model_II N250 seed61
[22:18:59] done: butterfly model_II N250 seed42
[22:19:16] done: butterfly model_II N250 seed43
[22:19:48] done: butterfly model_II N250 seed45
[22:19:50] done: butterfly model_II N250 seed44
[22:20:02] done: butterfly model_II N250 seed46
[22:20:17] done: butterfly model_II N250 seed47
[22:20:52] done: butterfly model_II N250 seed48
[22:20:55] done: butterfly model_II N250 seed49
[22:21:05] done: butterfly model_II N250 seed50
[22:21:21] done: butterfly model_II N250 seed51
[22:21:57] done: butterfly model_II N250 seed52
[22:22:00] done: butterfly model_II N250 seed53
[22:22:09] done: butterfly model_II N250 seed54
[22:22:23] done: butterfly model_II N250 seed55
[22:23:02] done: butterfly model_II N250 seed56
[22:23:06] done: butterfly model_II N250 seed57
[22:23:13] done: butterfly model_II N250 seed58
[22:23:27] done: butterfly model_II N250 seed59
[22:24:04] done: butterfly model_II N250 seed60
[22:24:09] done: butterfly model_II N250 seed61
[22:24:14] done: cayley model_II N250 seed42
[22:24:24] done: cayley model_II N250 seed43
[22:25:00] done: cayley model_II N250 seed44
[22:25:07] done: cayley model_II N250 seed45
[22:25:12] done: cayley model_II N250 seed46
[22:25:19] done: cayley model_II N250 seed47
[22:25:55] done: cayley model_II N250 seed48
[22:26:05] done: cayley model_II N250 seed49
[22:26:10] done: cayley model_II N250 seed50
[22:26:15] done: cayley model_II N250 seed51
[22:26:50] done: cayley model_II N250 seed52
[22:27:03] done: cayley model_II N250 seed53
[22:27:09] done: cayley model_II N250 seed54
[22:27:12] done: cayley model_II N250 seed55
[22:27:43] done: cayley model_II N250 seed56
[22:27:58] done: cayley model_II N250 seed57
[22:28:07] done: cayley model_II N250 seed58
[22:28:10] done: cayley model_II N250 seed59
[22:28:35] done: cayley model_II N250 seed60
[22:28:56] done: dctfix model_II N250 seed42
[22:28:57] done: cayley model_II N250 seed61
[22:28:57] done: dctfix model_II N250 seed43
[22:29:20] done: dctfix model_II N250 seed44
[22:29:44] done: dctfix model_II N250 seed45
[22:29:44] done: dctfix model_II N250 seed46
[22:29:46] done: dctfix model_II N250 seed47
[22:30:05] done: dctfix model_II N250 seed48
[22:30:33] done: dctfix model_II N250 seed50
[22:30:33] done: dctfix model_II N250 seed49
[22:30:34] done: dctfix model_II N250 seed51
[22:30:50] done: dctfix model_II N250 seed52
[22:31:21] done: dctfix model_II N250 seed54
[22:31:23] done: dctfix model_II N250 seed53
[22:31:25] done: dctfix model_II N250 seed55
[22:31:37] done: dctfix model_II N250 seed56
[22:32:11] done: dctfix model_II N250 seed57
[22:32:11] done: dctfix model_II N250 seed58
[22:32:16] done: dctfix model_II N250 seed59
[22:32:24] done: dctfix model_II N250 seed60
[22:32:59] done: dctfix model_II N250 seed61
[22:32:59] done: conv model_II N250 seed42
[22:33:07] done: conv model_II N250 seed43
[22:33:13] done: conv model_II N250 seed44
[22:33:48] done: conv model_II N250 seed45
[22:33:48] done: conv model_II N250 seed46
[22:33:56] done: conv model_II N250 seed47
[22:34:01] done: conv model_II N250 seed48
[22:34:37] done: conv model_II N250 seed49
[22:34:37] done: conv model_II N250 seed50
[22:34:46] done: conv model_II N250 seed51
[22:34:50] done: conv model_II N250 seed52
[22:35:26] done: conv model_II N250 seed53
[22:35:27] done: conv model_II N250 seed54
[22:35:37] done: conv model_II N250 seed55
[22:35:40] done: conv model_II N250 seed56
[22:36:15] done: conv model_II N250 seed58
[22:36:15] done: conv model_II N250 seed57
[22:36:26] done: conv model_II N250 seed59
[22:36:28] done: conv model_II N250 seed60
[22:36:54] done: conv model_II N250 seed61
[SWEEP DONE] model_II: 240 runs launched, results in results_qpe2_model_II.jsonl
