idx,true_label,true_name,pred_label,pred_name,correct,p_axion,p_cdm,p_no_sub,img_mean,img_std,img_max,img_snr
43,0,axion,0,axion,1,0.9952,0.0048,0.0001,0.0305,0.1018,1.0000,9.82
44,1,cdm,1,cdm,1,0.2011,0.7987,0.0001,0.0252,0.0894,1.0000,11.19
45,2,no_sub,2,no_sub,1,0.0017,0.0562,0.9421,0.0269,0.0911,1.0000,10.98
46,0,axion,0,axion,1,0.9939,0.0060,0.0001,0.0377,0.1210,1.0000,8.26
47,1,cdm,1,cdm,1,0.1141,0.8856,0.0003,0.0283,0.0951,1.0000,10.51
48,1,cdm,1,cdm,1,0.2332,0.7667,0.0001,0.0326,0.1043,1.0000,9.59
49,1,cdm,1,cdm,1,0.1647,0.8350,0.0003,0.0363,0.1145,1.0000,8.73
50,2,no_sub,2,no_sub,1,0.0016,0.0633,0.9350,0.0284,0.0964,1.0000,10.37
51,0,axion,0,axion,1,0.9445,0.0554,0.0001,0.0244,0.0863,1.0000,11.58
52,2,no_sub,2,no_sub,1,0.0041,0.1229,0.8730,0.0248,0.0863,1.0000,11.59
53,0,axion,0,axion,1,0.9972,0.0027,0.0001,0.0312,0.1017,1.0000,9.84
54,0,axion,0,axion,1,0.9139,0.0861,0.0001,0.0271,0.0940,1.0000,10.64
55,0,axion,0,axion,1,0.8830,0.1169,0.0001,0.0262,0.0914,1.0000,10.94
56,1,cdm,1,cdm,1,0.1415,0.8583,0.0002,0.0243,0.0838,1.0000,11.93
57,1,cdm,1,cdm,1,0.2028,0.7969,0.0002,0.0484,0.1558,1.0000,6.42
58,0,axion,0,axion,1,0.8835,0.1162,0.0003,0.0194,0.0748,1.0000,13.38
59,0,axion,0,axion,1,0.9876,0.0124,0.0001,0.0250,0.0856,1.0000,11.68
60,2,no_sub,2,no_sub,1,0.0018,0.0526,0.9455,0.0284,0.0951,1.0000,10.51
61,0,axion,0,axion,1,0.9829,0.0169,0.0002,0.0199,0.0772,1.0000,12.96
62,0,axion,0,axion,1,0.9814,0.0185,0.0001,0.0268,0.0916,1.0000,10.92
63,1,cdm,1,cdm,1,0.1584,0.8411,0.0005,0.0316,0.1024,1.0000,9.76
64,1,cdm,1,cdm,1,0.0276,0.9714,0.0011,0.0458,0.1482,1.0000,6.75
65,2,no_sub,2,no_sub,1,0.0008,0.0350,0.9641,0.0375,0.1220,1.0000,8.20
66,0,axion,1,cdm,0,0.1570,0.8428,0.0002,0.0279,0.0939,1.0000,10.65
67,0,axion,0,axion,1,0.9745,0.0255,0.0001,0.0257,0.0905,1.0000,11.05
68,2,no_sub,2,no_sub,1,0.0010,0.0295,0.9696,0.0281,0.0935,1.0000,10.69
69,0,axion,0,axion,1,0.9712,0.0288,0.0001,0.0290,0.0960,1.0000,10.42
70,1,cdm,1,cdm,1,0.0910,0.9087,0.0003,0.0256,0.0914,1.0000,10.94
71,1,cdm,1,cdm,1,0.0681,0.9307,0.0012,0.0355,0.1146,1.0000,8.73
72,2,no_sub,2,no_sub,1,0.0028,0.2056,0.7916,0.0358,0.1159,1.0000,8.63
73,1,cdm,1,cdm,1,0.1363,0.8632,0.0005,0.0241,0.0874,1.0000,11.44
74,0,axion,1,cdm,0,0.3447,0.6552,0.0001,0.0324,0.1056,1.0000,9.47
75,2,no_sub,2,no_sub,1,0.0013,0.0825,0.9161,0.0431,0.1406,1.0000,7.11
76,2,no_sub,2,no_sub,1,0.0051,0.2783,0.7165,0.0300,0.1006,1.0000,9.94
77,0,axion,1,cdm,0,0.1195,0.8801,0.0003,0.0260,0.0912,1.0000,10.97
78,0,axion,0,axion,1,0.9412,0.0587,0.0000,0.0300,0.1004,1.0000,9.96
79,0,axion,0,axion,1,0.7089,0.2911,0.0001,0.0313,0.1023,1.0000,9.78
80,0,axion,0,axion,1,0.9247,0.0753,0.0000,0.0323,0.1089,1.0000,9.18
81,2,no_sub,2,no_sub,1,0.0024,0.0937,0.9039,0.0296,0.0986,1.0000,10.14
82,0,axion,0,axion,1,0.9813,0.0187,0.0001,0.0286,0.0959,1.0000,10.43
83,1,cdm,1,cdm,1,0.0793,0.9198,0.0008,0.0324,0.1066,1.0000,9.38
84,0,axion,1,cdm,0,0.2379,0.7619,0.0001,0.0221,0.0803,1.0000,12.45
85,0,axion,0,axion,1,0.9747,0.0252,0.0001,0.0233,0.0834,1.0000,11.99
86,2,no_sub,2,no_sub,1,0.0011,0.0291,0.9698,0.0246,0.0839,1.0000,11.91
87,1,cdm,1,cdm,1,0.2983,0.7015,0.0002,0.0310,0.1039,1.0000,9.62
88,1,cdm,1,cdm,1,0.1562,0.8437,0.0001,0.0253,0.0843,1.0000,11.86
89,1,cdm,1,cdm,1,0.0592,0.9370,0.0037,0.0226,0.0814,1.0000,12.29
90,1,cdm,1,cdm,1,0.0417,0.9499,0.0084,0.0328,0.1064,1.0000,9.40
91,0,axion,0,axion,1,0.9443,0.0556,0.0001,0.0249,0.0890,1.0000,11.24
92,2,no_sub,2,no_sub,1,0.0095,0.3083,0.6822,0.0249,0.0892,1.0000,11.21
93,2,no_sub,2,no_sub,1,0.0075,0.3891,0.6034,0.0372,0.1208,1.0000,8.28
94,2,no_sub,2,no_sub,1,0.0073,0.4731,0.5196,0.0328,0.1092,1.0000,9.15
95,2,no_sub,2,no_sub,1,0.0022,0.0859,0.9119,0.0298,0.0988,1.0000,10.13
96,0,axion,0,axion,1,0.9957,0.0042,0.0001,0.0406,0.1302,1.0000,7.68
97,2,no_sub,1,cdm,0,0.0101,0.5606,0.4293,0.0324,0.1063,1.0000,9.40
98,1,cdm,1,cdm,1,0.0696,0.9298,0.0006,0.0337,0.1086,1.0000,9.21
99,2,no_sub,2,no_sub,1,0.0015,0.0506,0.9479,0.0293,0.0965,1.0000,10.36
100,2,no_sub,1,cdm,0,0.0066,0.5409,0.4524,0.0375,0.1214,1.0000,8.24
101,2,no_sub,2,no_sub,1,0.0009,0.0491,0.9500,0.0374,0.1206,1.0000,8.29
102,0,axion,1,cdm,0,0.2413,0.7585,0.0002,0.0267,0.0899,1.0000,11.12
103,1,cdm,1,cdm,1,0.1020,0.8976,0.0004,0.0305,0.1013,1.0000,9.87
104,2,no_sub,2,no_sub,1,0.0061,0.1795,0.8143,0.0256,0.0904,1.0000,11.07
105,0,axion,0,axion,1,0.9762,0.0238,0.0001,0.0234,0.0836,1.0000,11.95
106,1,cdm,1,cdm,1,0.0699,0.9292,0.0009,0.0306,0.1024,1.0000,9.77
107,1,cdm,1,cdm,1,0.0299,0.9674,0.0027,0.0476,0.1552,1.0000,6.44
108,1,cdm,1,cdm,1,0.4052,0.5947,0.0001,0.0224,0.0815,1.0000,12.27
109,2,no_sub,2,no_sub,1,0.0120,0.4850,0.5030,0.0258,0.0910,1.0000,10.99
110,0,axion,0,axion,1,0.9946,0.0053,0.0001,0.0336,0.1100,1.0000,9.09
111,2,no_sub,2,no_sub,1,0.0014,0.0631,0.9355,0.0321,0.1046,1.0000,9.56
112,1,cdm,1,cdm,1,0.1331,0.8667,0.0002,0.0301,0.1008,1.0000,9.92
113,1,cdm,1,cdm,1,0.0229,0.9754,0.0017,0.0431,0.1370,1.0000,7.30
114,0,axion,0,axion,1,0.9812,0.0188,0.0001,0.0255,0.0874,1.0000,11.44
115,2,no_sub,2,no_sub,1,0.0009,0.0295,0.9696,0.0270,0.0904,1.0000,11.06
116,1,cdm,1,cdm,1,0.0368,0.9611,0.0021,0.0249,0.0885,1.0000,11.31
117,2,no_sub,2,no_sub,1,0.0134,0.2979,0.6887,0.0228,0.0839,1.0000,11.92
118,1,cdm,1,cdm,1,0.0166,0.9371,0.0463,0.0472,0.1546,1.0000,6.47
119,0,axion,0,axion,1,0.9954,0.0046,0.0001,0.0333,0.1075,1.0000,9.30
120,2,no_sub,2,no_sub,1,0.0017,0.0586,0.9397,0.0285,0.0944,1.0000,10.59
121,2,no_sub,1,cdm,0,0.0087,0.8208,0.1705,0.0356,0.1174,1.0000,8.52
122,1,cdm,1,cdm,1,0.0969,0.9028,0.0003,0.0368,0.1174,1.0000,8.52
123,2,no_sub,2,no_sub,1,0.0014,0.0557,0.9429,0.0300,0.0989,1.0000,10.11
124,2,no_sub,1,cdm,0,0.0173,0.5411,0.4416,0.0259,0.0930,1.0000,10.76
125,2,no_sub,2,no_sub,1,0.0043,0.2969,0.6988,0.0430,0.1396,1.0000,7.16
126,2,no_sub,2,no_sub,1,0.0173,0.3293,0.6535,0.0217,0.0819,1.0000,12.20
127,2,no_sub,2,no_sub,1,0.0093,0.3324,0.6582,0.0273,0.0944,1.0000,10.59
128,2,no_sub,2,no_sub,1,0.0040,0.1244,0.8716,0.0263,0.0894,1.0000,11.18
129,2,no_sub,1,cdm,0,0.0075,0.6657,0.3268,0.0377,0.1224,1.0000,8.17
130,0,axion,1,cdm,0,0.1065,0.8928,0.0007,0.0484,0.1586,1.0000,6.30
131,1,cdm,1,cdm,1,0.2614,0.7384,0.0001,0.0312,0.1019,1.0000,9.81
132,2,no_sub,2,no_sub,1,0.0066,0.1547,0.8388,0.0236,0.0841,1.0000,11.89
133,2,no_sub,2,no_sub,1,0.0198,0.3909,0.5893,0.0223,0.0833,1.0000,12.00
134,2,no_sub,2,no_sub,1,0.0042,0.1565,0.8392,0.0275,0.0944,1.0000,10.59
135,2,no_sub,2,no_sub,1,0.0011,0.0601,0.9388,0.0400,0.1299,1.0000,7.70
136,1,cdm,1,cdm,1,0.1385,0.8613,0.0002,0.0271,0.0947,1.0000,10.56
137,2,no_sub,2,no_sub,1,0.0020,0.0530,0.9449,0.0221,0.0792,1.0000,12.63
138,0,axion,0,axion,1,0.9107,0.0893,0.0001,0.0262,0.0920,1.0000,10.87
139,0,axion,0,axion,1,0.9887,0.0113,0.0000,0.0310,0.1025,1.0000,9.75
140,1,cdm,1,cdm,1,0.0872,0.9125,0.0003,0.0448,0.1428,1.0000,7.00
141,0,axion,0,axion,1,0.9891,0.0109,0.0000,0.0321,0.1047,1.0000,9.55
142,1,cdm,1,cdm,1,0.0563,0.9435,0.0002,0.0400,0.1250,1.0000,8.00
143,2,no_sub,2,no_sub,1,0.0026,0.1803,0.8171,0.0443,0.1444,1.0000,6.92
144,1,cdm,1,cdm,1,0.0256,0.9511,0.0233,0.0270,0.0909,1.0000,11.00
145,0,axion,1,cdm,0,0.1624,0.8373,0.0003,0.0250,0.0877,1.0000,11.40
146,1,cdm,1,cdm,1,0.0561,0.9436,0.0003,0.0301,0.1030,1.0000,9.71
147,2,no_sub,2,no_sub,1,0.0099,0.4016,0.5884,0.0282,0.0982,1.0000,10.18
148,1,cdm,1,cdm,1,0.1392,0.8604,0.0004,0.0338,0.1106,1.0000,9.04
149,0,axion,0,axion,1,0.7909,0.2089,0.0002,0.0210,0.0787,1.0000,12.70
150,2,no_sub,2,no_sub,1,0.0045,0.2178,0.7777,0.0375,0.1213,1.0000,8.24
151,2,no_sub,2,no_sub,1,0.0059,0.2653,0.7289,0.0281,0.0956,1.0000,10.46
152,1,cdm,1,cdm,1,0.2154,0.7844,0.0002,0.0247,0.0858,1.0000,11.65
153,0,axion,0,axion,1,0.9703,0.0297,0.0000,0.0276,0.0958,1.0000,10.44
154,0,axion,1,cdm,0,0.2416,0.7582,0.0002,0.0323,0.1048,1.0000,9.54
155,0,axion,0,axion,1,0.8763,0.1236,0.0001,0.0262,0.0886,1.0000,11.29
156,0,axion,0,axion,1,0.9851,0.0148,0.0001,0.0252,0.0868,1.0000,11.51
157,2,no_sub,2,no_sub,1,0.0052,0.2304,0.7644,0.0277,0.0937,1.0000,10.67
158,2,no_sub,2,no_sub,1,0.0048,0.2568,0.7384,0.0356,0.1166,1.0000,8.57
159,0,axion,1,cdm,0,0.1222,0.8745,0.0034,0.0369,0.1193,1.0000,8.38
160,2,no_sub,2,no_sub,1,0.0036,0.1246,0.8718,0.0246,0.0848,1.0000,11.80
161,1,cdm,1,cdm,1,0.1622,0.8375,0.0004,0.0247,0.0864,1.0000,11.57
162,0,axion,1,cdm,0,0.1017,0.8980,0.0003,0.0301,0.1001,1.0000,9.99
163,0,axion,0,axion,1,0.9963,0.0036,0.0001,0.0305,0.0995,1.0000,10.05
164,2,no_sub,2,no_sub,1,0.0011,0.0569,0.9421,0.0423,0.1381,1.0000,7.24
165,1,cdm,1,cdm,1,0.1330,0.8666,0.0005,0.0252,0.0853,1.0000,11.73
166,1,cdm,1,cdm,1,0.0156,0.9332,0.0512,0.0367,0.1185,1.0000,8.44
167,2,no_sub,2,no_sub,1,0.0017,0.1026,0.8957,0.0424,0.1379,1.0000,7.25
168,2,no_sub,2,no_sub,1,0.0095,0.2317,0.7587,0.0213,0.0772,1.0000,12.96
169,0,axion,0,axion,1,0.9375,0.0624,0.0001,0.0244,0.0869,1.0000,11.51
170,0,axion,0,axion,1,0.9926,0.0073,0.0001,0.0254,0.0869,1.0000,11.51
171,0,axion,1,cdm,0,0.1558,0.8436,0.0006,0.0351,0.1135,1.0000,8.81
172,0,axion,1,cdm,0,0.2309,0.7687,0.0004,0.0215,0.0822,1.0000,12.17
173,0,axion,1,cdm,0,0.4435,0.5564,0.0001,0.0346,0.1110,1.0000,9.01
174,0,axion,0,axion,1,0.5086,0.4913,0.0001,0.0335,0.1070,1.0000,9.34
175,0,axion,0,axion,1,0.9963,0.0036,0.0001,0.0355,0.1150,1.0000,8.70
176,2,no_sub,2,no_sub,1,0.0060,0.2889,0.7051,0.0302,0.1020,1.0000,9.80
177,0,axion,0,axion,1,0.8110,0.1890,0.0001,0.0337,0.1071,1.0000,9.34
178,0,axion,1,cdm,0,0.2657,0.7341,0.0001,0.0366,0.1182,1.0000,8.46
179,1,cdm,1,cdm,1,0.0784,0.9211,0.0005,0.0410,0.1306,1.0000,7.66
180,2,no_sub,2,no_sub,1,0.0008,0.0371,0.9622,0.0431,0.1415,1.0000,7.07
181,1,cdm,1,cdm,1,0.1122,0.8873,0.0005,0.0355,0.1142,1.0000,8.76
182,1,cdm,1,cdm,1,0.0891,0.9093,0.0017,0.0244,0.0845,1.0000,11.83
183,2,no_sub,2,no_sub,1,0.0091,0.3614,0.6295,0.0272,0.0955,1.0000,10.47
184,2,no_sub,1,cdm,0,0.0133,0.6375,0.3492,0.0297,0.1020,1.0000,9.81
185,1,cdm,1,cdm,1,0.1211,0.8785,0.0003,0.0359,0.1142,1.0000,8.76
186,2,no_sub,1,cdm,0,0.0102,0.6673,0.3225,0.0333,0.1101,1.0000,9.08
187,2,no_sub,2,no_sub,1,0.0059,0.2613,0.7328,0.0291,0.0973,1.0000,10.27
188,2,no_sub,1,cdm,0,0.0246,0.5285,0.4469,0.0234,0.0856,1.0000,11.68
189,0,axion,1,cdm,0,0.1219,0.8775,0.0005,0.0461,0.1490,1.0000,6.71
190,0,axion,0,axion,1,0.9950,0.0049,0.0001,0.0283,0.0940,1.0000,10.64
191,1,cdm,1,cdm,1,0.0169,0.8542,0.1289,0.0480,0.1587,1.0000,6.30
192,0,axion,0,axion,1,0.9973,0.0026,0.0002,0.0344,0.1111,1.0000,9.00
193,2,no_sub,2,no_sub,1,0.0064,0.2170,0.7766,0.0256,0.0883,1.0000,11.32
194,2,no_sub,2,no_sub,1,0.0111,0.2921,0.6968,0.0241,0.0871,1.0000,11.48
195,1,cdm,1,cdm,1,0.1705,0.8237,0.0058,0.0214,0.0816,1.0000,12.25
196,0,axion,0,axion,1,0.9983,0.0016,0.0001,0.0352,0.1134,1.0000,8.82
197,1,cdm,1,cdm,1,0.0217,0.8603,0.1181,0.0293,0.0960,1.0000,10.42
198,2,no_sub,2,no_sub,1,0.0083,0.2223,0.7694,0.0234,0.0845,1.0000,11.83
199,0,axion,0,axion,1,0.9191,0.0808,0.0001,0.0231,0.0829,1.0000,12.06
200,0,axion,0,axion,1,0.7901,0.2098,0.0001,0.0226,0.0816,1.0000,12.26
201,0,axion,0,axion,1,0.9161,0.0838,0.0001,0.0230,0.0847,1.0000,11.81
202,0,axion,0,axion,1,0.9983,0.0015,0.0002,0.0463,0.1510,1.0000,6.62
203,1,cdm,1,cdm,1,0.0238,0.9127,0.0635,0.0273,0.0920,1.0000,10.87
204,1,cdm,1,cdm,1,0.1369,0.8628,0.0003,0.0258,0.0910,1.0000,10.98
205,1,cdm,1,cdm,1,0.4075,0.5923,0.0001,0.0285,0.0953,1.0000,10.50
206,1,cdm,1,cdm,1,0.0501,0.9343,0.0156,0.0323,0.1053,1.0000,9.50
207,2,no_sub,2,no_sub,1,0.0020,0.0812,0.9168,0.0280,0.0940,1.0000,10.63
208,1,cdm,1,cdm,1,0.0952,0.9040,0.0008,0.0364,0.1169,1.0000,8.55
209,1,cdm,1,cdm,1,0.0342,0.8017,0.1640,0.0254,0.0906,1.0000,11.04
210,1,cdm,1,cdm,1,0.0692,0.9301,0.0007,0.0309,0.1022,1.0000,9.79
211,0,axion,0,axion,1,0.9975,0.0025,0.0001,0.0327,0.1063,1.0000,9.41
212,0,axion,0,axion,1,0.9952,0.0047,0.0001,0.0326,0.1060,1.0000,9.43
213,2,no_sub,2,no_sub,1,0.0069,0.4632,0.5300,0.0355,0.1171,1.0000,8.54
214,0,axion,0,axion,1,0.9734,0.0265,0.0001,0.0239,0.0857,1.0000,11.67
215,0,axion,0,axion,1,0.9977,0.0021,0.0002,0.0329,0.1064,1.0000,9.39
216,2,no_sub,2,no_sub,1,0.0013,0.0758,0.9229,0.0415,0.1345,1.0000,7.43
217,0,axion,0,axion,1,0.9801,0.0199,0.0000,0.0310,0.1005,1.0000,9.95
218,0,axion,0,axion,1,0.9817,0.0183,0.0001,0.0305,0.1030,1.0000,9.71
219,2,no_sub,1,cdm,0,0.0218,0.5922,0.3860,0.0227,0.0830,1.0000,12.06
220,0,axion,0,axion,1,0.9988,0.0009,0.0003,0.0400,0.1290,1.0000,7.75
221,2,no_sub,2,no_sub,1,0.0019,0.0761,0.9221,0.0280,0.0958,1.0000,10.43
222,1,cdm,1,cdm,1,0.0055,0.9855,0.0090,0.0379,0.1219,1.0000,8.20
223,1,cdm,0,axion,0,0.5476,0.4523,0.0001,0.0276,0.0914,1.0000,10.94
224,1,cdm,2,no_sub,0,0.0013,0.0576,0.9411,0.0362,0.1171,1.0000,8.54
225,2,no_sub,2,no_sub,1,0.0065,0.2538,0.7396,0.0283,0.0969,1.0000,10.32
226,2,no_sub,2,no_sub,1,0.0023,0.1500,0.8477,0.0406,0.1313,1.0000,7.61
227,0,axion,1,cdm,0,0.0745,0.9197,0.0058,0.0284,0.0944,1.0000,10.59
228,1,cdm,0,axion,0,0.5153,0.4846,0.0001,0.0226,0.0828,1.0000,12.08
229,1,cdm,1,cdm,1,0.1502,0.8483,0.0015,0.0226,0.0821,1.0000,12.18
230,2,no_sub,2,no_sub,1,0.0049,0.1328,0.8623,0.0250,0.0866,1.0000,11.55
231,0,axion,1,cdm,0,0.2768,0.7230,0.0001,0.0285,0.0952,1.0000,10.50
232,2,no_sub,2,no_sub,1,0.0011,0.0307,0.9682,0.0244,0.0838,1.0000,11.94
233,0,axion,1,cdm,0,0.4310,0.5657,0.0034,0.0188,0.0752,1.0000,13.30
234,0,axion,0,axion,1,0.9716,0.0283,0.0001,0.0256,0.0899,1.0000,11.12
235,2,no_sub,1,cdm,0,0.0167,0.5343,0.4489,0.0234,0.0839,1.0000,11.92
236,0,axion,0,axion,1,0.9948,0.0051,0.0002,0.0288,0.0948,1.0000,10.55
237,2,no_sub,2,no_sub,1,0.0059,0.1965,0.7976,0.0246,0.0857,1.0000,11.66
238,1,cdm,1,cdm,1,0.0521,0.9177,0.0302,0.0246,0.0862,1.0000,11.59
239,1,cdm,1,cdm,1,0.2683,0.7316,0.0001,0.0279,0.0963,1.0000,10.39
240,2,no_sub,2,no_sub,1,0.0047,0.2757,0.7196,0.0362,0.1175,1.0000,8.51
241,2,no_sub,2,no_sub,1,0.0020,0.0815,0.9165,0.0319,0.1047,1.0000,9.56
242,1,cdm,1,cdm,1,0.1367,0.8630,0.0003,0.0238,0.0863,1.0000,11.59
243,0,axion,0,axion,1,0.9963,0.0035,0.0002,0.0282,0.0938,1.0000,10.66
244,0,axion,0,axion,1,0.9756,0.0244,0.0000,0.0330,0.1070,1.0000,9.34
245,2,no_sub,2,no_sub,1,0.0030,0.1079,0.8891,0.0258,0.0902,1.0000,11.08
246,2,no_sub,1,cdm,0,0.0315,0.5754,0.3931,0.0217,0.0832,1.0000,12.02
247,0,axion,0,axion,1,0.9987,0.0010,0.0003,0.0459,0.1498,1.0000,6.67
248,1,cdm,1,cdm,1,0.0898,0.9100,0.0003,0.0346,0.1107,1.0000,9.03
249,2,no_sub,2,no_sub,1,0.0052,0.2374,0.7574,0.0308,0.1032,1.0000,9.69
250,1,cdm,1,cdm,1,0.0382,0.9266,0.0352,0.0257,0.0877,1.0000,11.40
251,0,axion,0,axion,1,0.8706,0.1294,0.0001,0.0249,0.0877,1.0000,11.40
252,2,no_sub,2,no_sub,1,0.0037,0.1691,0.8272,0.0324,0.1067,1.0000,9.37
253,2,no_sub,2,no_sub,1,0.0045,0.1934,0.8022,0.0295,0.0983,1.0000,10.17
254,2,no_sub,2,no_sub,1,0.0177,0.3813,0.6011,0.0229,0.0848,1.0000,11.80
255,0,axion,0,axion,1,0.9883,0.0116,0.0001,0.0312,0.1031,1.0000,9.70
256,0,axion,0,axion,1,0.9620,0.0380,0.0001,0.0250,0.0862,1.0000,11.59
257,2,no_sub,2,no_sub,1,0.0070,0.4036,0.5894,0.0352,0.1150,1.0000,8.70
258,1,cdm,1,cdm,1,0.2203,0.7795,0.0001,0.0251,0.0867,1.0000,11.53
259,2,no_sub,2,no_sub,1,0.0027,0.0975,0.8998,0.0284,0.0956,1.0000,10.46
260,0,axion,0,axion,1,0.9735,0.0265,0.0000,0.0316,0.1039,1.0000,9.62
261,0,axion,0,axion,1,0.9210,0.0790,0.0001,0.0281,0.0960,1.0000,10.42
262,1,cdm,1,cdm,1,0.2465,0.7533,0.0002,0.0332,0.1073,1.0000,9.32
263,1,cdm,1,cdm,1,0.0998,0.9000,0.0002,0.0307,0.1028,1.0000,9.73
264,0,axion,1,cdm,0,0.1689,0.8309,0.0002,0.0245,0.0866,1.0000,11.54
265,1,cdm,1,cdm,1,0.2354,0.7644,0.0001,0.0329,0.1042,1.0000,9.60
266,1,cdm,1,cdm,1,0.0720,0.9277,0.0004,0.0291,0.1019,1.0000,9.82
267,0,axion,0,axion,1,0.9639,0.0360,0.0001,0.0222,0.0810,1.0000,12.35
268,1,cdm,1,cdm,1,0.0219,0.9665,0.0116,0.0368,0.1184,1.0000,8.44
269,2,no_sub,2,no_sub,1,0.0060,0.3091,0.6849,0.0337,0.1096,1.0000,9.12
270,2,no_sub,2,no_sub,1,0.0023,0.1163,0.8814,0.0321,0.1053,1.0000,9.50
271,1,cdm,1,cdm,1,0.0380,0.9612,0.0008,0.0400,0.1273,1.0000,7.86
272,2,no_sub,2,no_sub,1,0.0018,0.0592,0.9390,0.0301,0.0999,1.0000,10.01
273,1,cdm,1,cdm,1,0.0302,0.9658,0.0040,0.0318,0.1034,1.0000,9.67
274,1,cdm,1,cdm,1,0.2058,0.7940,0.0002,0.0252,0.0883,1.0000,11.33
275,2,no_sub,2,no_sub,1,0.0036,0.1471,0.8493,0.0276,0.0953,1.0000,10.49
276,0,axion,0,axion,1,0.9890,0.0109,0.0001,0.0251,0.0882,1.0000,11.34
